110|b' '
1111|b'e'
1001|b'a'
1000|b't'
0110|b'o'
0011|b'n'
0010|b's'
0001|b'h'
0000|b'r'
11100|b'i'
01111|b'd'
01010|b'l'
01000|b'\n'
111010|b'u'
101111|b','
101110|b'\xe2'
101101|b'\x80'
101011|b'm'
101010|b'w'
011101|b'y'
011100|b'c'
010110|b'f'
010011|b'g'
010010|b'p'
1011000|b'.'
1010010|b'\x9d'
1010001|b'\x9c'
1010000|b'b'
0101110|b'v'
11101100|b'k'
10110010|b'I'
111011101|b'M'
111011100|b'D'
101100111|b'\xc3'
101001111|b'?'
101001101|b'\xa8'
010111110|b'T'
010111100|b'\x99'
1110111110|b'A'
1110111100|b';'
1110110111|b'C'
1110110100|b'-'
1011001101|b'q'
1010011101|b'P'
1010011100|b'E'
1010011001|b'\x94'
0101111111|b'W'
0101111110|b'Y'
0101111011|b'x'
0101111010|b'L'
11101111110|b'H'
11101111011|b'!'
11101101101|b'j'
11101101100|b'N'
10110011001|b'0'
10110011000|b'S'
10100110000|b'B'
111011110100|b'\xa9'
111011010111|b'G'
111011010110|b'F'
111011010101|b'2'
101001100011|b'R'
101001100010|b'O'
1110111111111|b'V'
1110111101010|b'\x98'
1110110101001|b'5'
1110110101000|b'1'
11101111111101|b'J'
11101111111100|b':'
11101111111011|b'&'
111011111110101|b'\xc5'
111011111110100|b'\xa2'
111011111110011|b'\x93'
111011111110010|b'z'
111011111110001|b'Q'
111011111110000|b'9'
111011110101111|b'8'
111011110101110|b'7'
111011110101101|b'4'
1110111101011001|b'3'
1110111101011000|b'\x07'
